,datetime,r_sen_2,avg_sen_2,std_sen_2,last_water,dow
287,2020-08-14 14:49:59,0,0.0,0.0,7 days 01:09:28,4
288,2020-08-14 14:59:59,0,0.0,0.0,7 days 01:19:28,4
289,2020-08-14 15:09:59,0,0.0,0.0,7 days 01:29:28,4
290,2020-08-14 15:19:59,0,0.0,0.0,7 days 01:39:28,4
291,2020-08-14 15:29:59,0,0.0,0.0,7 days 01:49:28,4
292,2020-08-14 15:39:59,0,0.0,0.0,7 days 01:59:28,4
293,2020-08-14 15:49:59,0,0.0,0.0,7 days 02:09:28,4
294,2020-08-14 15:59:59,0,0.0,0.0,7 days 02:19:28,4
295,2020-08-14 16:09:59,0,0.0,0.0,7 days 02:29:28,4
296,2020-08-14 16:19:59,0,0.0,0.0,7 days 02:39:28,4
297,2020-08-14 16:29:59,0,0.0,0.0,7 days 02:49:28,4
298,2020-08-14 16:39:59,0,0.0,0.0,7 days 02:59:28,4
299,2020-08-14 16:49:59,0,0.0,0.0,7 days 03:09:28,4
300,2020-08-14 16:59:59,0,0.0,0.0,7 days 03:19:28,4
301,2020-08-14 17:09:59,0,0.0,0.0,7 days 03:29:28,4
302,2020-08-14 17:19:59,0,0.0,0.0,7 days 03:39:28,4
303,2020-08-14 17:29:59,0,0.0,0.0,7 days 03:49:28,4
304,2020-08-14 17:39:59,0,0.0,0.0,7 days 03:59:28,4
305,2020-08-14 17:49:59,0,0.0,0.0,7 days 04:09:28,4
306,2020-08-14 17:59:59,0,0.0,0.0,7 days 04:19:28,4
307,2020-08-14 18:09:59,0,0.0,0.0,7 days 04:29:28,4
308,2020-08-14 18:19:59,0,0.0,0.0,7 days 04:39:28,4
309,2020-08-14 18:29:59,0,0.0,0.0,7 days 04:49:28,4
310,2020-08-14 18:39:59,0,0.0,0.0,7 days 04:59:28,4
311,2020-08-14 18:49:59,0,0.0,0.0,7 days 05:09:28,4
312,2020-08-14 18:59:59,0,0.0,0.0,7 days 05:19:28,4
313,2020-08-14 19:09:59,0,0.0,0.0,7 days 05:29:28,4
